Vocabulary size, svd components, hidden layer size, batch_size, epochs, dropout_perc, test_acc
2500,200,128,32,20,0.5,0.75935
2500,200,200,32,20,0.5,0.7605625
2500,100,50,32,20,0.3,0.7426875
2500,100,50,32,50,0.3,0.7466625
10000,200,200,32,50,0.5,0.766575
